PERIODID,NSW,QLD,SA,TAS,VIC,,,,,,
1,99.34,94.53,66.86,22.61,21.92,PUBLIC,6/24/2023,23:55:13,390387665,FORCE_MAJEURE,390387665
2,95.51,90.69,68.47,20.53,19.11,EFFECTIVEDATE,SOURCE_START_DATE,SOURCE_END_DATE,COMMENTS,AUTHORISEDDATE,LASTCHANGED
3,88.41,83.43,56.32,15.97,15.98,7/10/2023 0:00,5/28/2023 0:00,6/25/2023 0:00,,6/24/2023 23:55,6/24/2023 23:55
4,87.9,83.05,49.55,13.03,12.2,,,,,,
5,82.77,78.61,44.23,13.09,11.38,,,,,,
6,80.29,76.9,34.71,13.15,6.76,,,,,,
7,78.36,75.27,26.7,19.57,9.57,,,,,,
8,75.29,73.87,28.44,18.02,10.58,,,,,,
9,81.26,79.05,30.28,23.94,18.79,,,,,,
10,87,85.34,40.64,23.83,21.64,,,,,,
11,92.83,95.44,46.87,27.29,29.9,,,,,,
12,91.46,93.62,55.92,33.96,34.6,,,,,,
13,122.65,127.56,81.63,54.96,62.47,,,,,,
14,172.54,310.08,107,72.37,84.37,,,,,,
15,153.32,153.59,114.65,65.25,96.28,,,,,,
16,128.48,112.18,139.21,69.1,115.28,,,,,,
17,92.38,74.29,132.13,58.78,93.88,,,,,,
18,76.01,52.81,118.9,54.69,76.14,,,,,,
19,79.65,50.76,118.56,64.42,79.28,,,,,,
20,72.44,40.57,100.42,60.94,70.36,,,,,,
21,63.66,29.59,83.68,50.5,60.7,,,,,,
22,60.05,34.26,66.95,48.35,33.38,,,,,,
23,56.5,26.64,62.82,47.19,34.03,,,,,,
24,59.83,31.58,49.65,33.31,28.68,,,,,,
25,56.57,32.52,48.9,34.7,31.25,,,,,,
26,62.71,40.22,53.92,29.31,24.05,,,,,,
27,74.45,43.79,56.11,32.57,31.81,,,,,,
28,74.71,48.13,48.89,36.13,31.91,,,,,,
29,76.89,57.44,63.45,48.62,46.71,,,,,,
30,76.76,64.17,67.74,53.47,46.06,,,,,,
31,76.67,66.33,74.74,177.81,55.91,,,,,,
32,102.19,91.2,96.26,58.13,86.72,,,,,,
33,151.03,135.77,126.48,70.26,117.31,,,,,,
