SETTLEMENTDATE,PERIODID,NSW,QLD,SA,TAS,VIC
6/13/2023 0:00,1,8047,5840,1525,1027,4586
6/13/2023 0:00,2,7943,5655,1541,1014,4421
6/13/2023 0:00,3,7749,5550,1497,1014,4280
6/13/2023 0:00,4,7498,5499,1475,1017,4117
6/13/2023 0:00,5,7240,5433,1419,1006,3999
6/13/2023 0:00,6,7031,5376,1385,1010,3936
6/13/2023 0:00,7,6864,5424,1352,1008,3908
6/13/2023 0:00,8,6780,5492,1334,1018,3902
6/13/2023 0:00,9,6776,5579,1328,1048,3913
6/13/2023 0:00,10,6885,5675,1330,1043,4034
6/13/2023 0:00,11,7227,5899,1335,1108,4211
6/13/2023 0:00,12,7631,6101,1378,1195,4400
6/13/2023 0:00,13,8356,6513,1433,1286,4900
6/13/2023 0:00,14,9105,6818,1540,1361,5383
6/13/2023 0:00,15,9653,6835,1616,1451,5872
6/13/2023 0:00,16,9749,6629,1731,1499,6246
6/13/2023 0:00,17,9593,6254,1810,1494,6340
6/13/2023 0:00,18,9149,5825,1796,1479,6398
6/13/2023 0:00,19,8983,5450,1732,1441,6410
6/13/2023 0:00,20,8724,5156,1600,1451,6262
6/13/2023 0:00,21,8552,4981,1484,1444,6092
6/13/2023 0:00,22,8451,4959,1432,1411,5911
6/13/2023 0:00,23,8306,4893,1381,1376,5731
6/13/2023 0:00,24,8089,4871,1328,1353,5638
6/13/2023 0:00,25,7776,4929,1263,1336,5481
6/13/2023 0:00,26,7602,5065,1263,1308,5395
6/13/2023 0:00,27,7504,5100,1277,1310,5274
6/13/2023 0:00,28,7531,5162,1256,1291,5059
6/13/2023 0:00,29,7581,5340,1261,1371,5011
6/13/2023 0:00,30,7765,5603,1312,1254,5184
6/13/2023 0:00,31,8082,5904,1442,1295,5444
6/13/2023 0:00,32,8556,6294,1461,1367,5775
6/13/2023 0:00,33,9061,6714,1585,1394,6208
6/13/2023 0:00,34,9663,7060,1698,1437,6492
6/13/2023 0:00,35,10319,7340,1890,1465,6797
6/13/2023 0:00,36,10797,7591,2030,1493,7000
6/13/2023 0:00,37,10807,7602,2139,1479,7002
6/13/2023 0:00,38,10777,7558,2146,1458,6896
6/13/2023 0:00,39,10474,7394,2132,1453,6771
6/13/2023 0:00,40,10280,7299,2074,1411,6648
6/13/2023 0:00,41,10030,7149,2036,1408,6434
6/13/2023 0:00,42,9749,6920,1963,1371,6222
6/13/2023 0:00,43,9462,6787,1899,1335,6017
6/13/2023 0:00,44,9131,6554,1815,1289,5693
6/13/2023 0:00,45,8982,6363,1726,1242,5356
6/13/2023 0:00,46,8707,6174,1669,1211,5157
6/13/2023 0:00,47,8577,6115,1603,1181,5119
6/13/2023 0:00,48,8440,5909,1665,1160,5046
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
