INTERVAL_DATETIME,REGIONID,POWER,,,Period,NSW1,QLD1,SA1,TAS1,VIC1,,,,,,,,,
13/06/2023 7:00,NSW1,1.376,,,1,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,QLD1,12.58,,,2,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,QLDC,1.426,,,3,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,QLDN,0.915,,,4,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,QLDS,10.24,,,5,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,SA1,0,,,6,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,TAS1,0,,,7,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,TASN,0,,,8,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,TASS,0,,,9,0,0,0,0,0,,,,,,,,,
13/06/2023 7:00,VIC1,0,,,10,0,0,0,0,0,,,,,,,,,
,,,,,11,0,0,0,0,0,,,,,,,,,
,,,,,12,0,0,0,0,0,,,,,,,,,
PUBLIC,13/06/2023,8:00:01,,,13,0,0,0,0,0,,,,,,,,,
INTERVAL_DATETIME,REGIONID,POWER,,,14,0,0,0,0,0,,,,,,,,,
13/06/2023 7:30,NSW1,43.075,,,15,1.376,12.58,0,0,0,,,,,,,,,
13/06/2023 7:30,QLD1,211.284,,,16,43.075,211.284,0,0,0.005,,,,,,,,,
13/06/2023 7:30,QLDC,18.806,,,17,267.996,550.175,0.558,0.825,7.811,,,,,,,,,
13/06/2023 7:30,QLDN,23.843,,,18,571.332,963.994,25.748,7.332,91.952,,,,,,,,,
13/06/2023 7:30,QLDS,168.635,,,19,909.973,1368.202,99.205,19.469,196.79,,,,,,,,,
13/06/2023 7:30,SA1,0,,,20,1094.175,1728.82,165.586,27.791,286.966,,,,,,,,,
13/06/2023 7:30,TAS1,0,,,21,1248.706,2028.076,297.709,21.822,407.908,,,,,,,,,
13/06/2023 7:30,TASN,0,,,22,1432.081,2173.82,473.272,21.236,523.096,,,,,,,,,
13/06/2023 7:30,TASS,0,,,23,1454.66,2365.308,587.522,28.424,671.067,,,,,,,,,
13/06/2023 7:30,VIC1,0.005,,,24,1582.929,2540.388,642.254,39.655,758.398,,,,,,,,,
,,,,,25,1620.056,2575.923,692.904,43.19,809.97,,,,,,,,,
,,,,,26,1833.422,2536.637,770.326,40.927,870.232,,,,,,,,,
,,,,,27,1892.649,2442.761,698.367,41.08,877.408,,,,,,,,,
PUBLIC,13/06/2023,8:30:01,,,28,1868.952,2259.855,685.698,30.199,955.78,,,,,,,,,
INTERVAL_DATETIME,REGIONID,POWER,,,29,1669.518,2102.84,698.519,28.195,1031.802,,,,,,,,,
13/06/2023 8:00,NSW1,267.996,,,30,1447.044,1845.243,700.014,20.592,938.662,,,,,,,,,
13/06/2023 8:00,QLD1,550.175,,,31,1166.468,1500.109,556.33,16.817,677.735,,,,,,,,,
13/06/2023 8:00,QLDC,49.296,,,32,840.143,1107.418,458.006,12.134,535.202,,,,,,,,,
13/06/2023 8:00,QLDN,66.626,,,33,517.692,687.743,380.475,7.618,350.939,,,,,,,,,
13/06/2023 8:00,QLDS,434.254,,,34,202.727,321.143,260.294,1.948,130.108,,,,,,,,,
13/06/2023 8:00,SA1,0.558,,,35,21.929,80.799,144.986,0.059,20.367,,,,,,,,,
13/06/2023 8:00,TAS1,0.825,,,36,0.057,12.864,30.575,0,0.655,,,,,,,,,
13/06/2023 8:00,TASN,0.22,,,37,0,0.59,1.235,0,0,,,,,,,,,
13/06/2023 8:00,TASS,0.603,,,38,0,0,0,0,0,,,,,,,,,
13/06/2023 8:00,VIC1,7.811,,,39,0,0,0,0,0,,,,,,,,,
,,,,,40,0,0,0,0,0,,,,,,,,,
,,,,,41,0,0,0,0,0,,,,,,,,,
